BarcodeID,CellBatch1_fitness,24h_fitness,48h_fitness,72h_fitness,96h_fitness,120h_fitness,168h_fitness,4gen_fitness,6gen_fitness,8gen_fitness,8gen_2_fitness,9gen_fitness,CellBatch1_err,24h_err,48h_err,72h_err,96h_err,120h_err,168h_err,4gen_err,6gen_err,8gen_err,8gen_2_err,9gen_err,Global EC Fitness,Global EC Error,CloneID,Ploidy,Class,Mutated Gene,Mutation Type,Batch,Fermentation_Dependent_Component,Respiration_Dependent_Component,Stationary_Dependent_Rate,Cluster (Figure S6BC), 
294729,0.298956226,0.300978201,0.346757,0.446289054,0.474269129,0.438657195,0.343056397,0.184789863,0.161401109,0.187587206,0.271755612,0.336254187,0.071786002,0.126571556,0.194332,0.144442814,0.167120135,0.099984655,0.114955078,0.084938613,0.071693408,0.07552719,0.078704863,0.06828669,0.258313806,0.04236102,131017-4-B3,Diploid,pure_diploids,NA,NA,NA,0.234816397,0.053408599,-0.001264929,NA,
294955,0.058202509,-0.066086724,-0.0455289,0.105399552,0.030783583,0.067010772,0.224417078,-0.049690037,-0.024369865,-0.002880483,0.024741475,0.015542827,0.070700515,0.136143787,0.232093,0.164230964,0.210005983,0.1169685,0.130368869,0.090355508,0.08289609,0.083846245,0.096853396,0.09057571,0.027865903,0.046251287,130719-1-B4,Haploid,neutral_haploids,NA,NA,NA,0.111497536,0.023984128,0.001590605,NA,
295137,0.112832876,0.345664054,0.211925,0.051134993,0.491674605,0.212013038,0.240119034,0.084388852,0.090961802,0.197787948,0.317913742,0.373536227,0.071267228,0.124161569,0.188665,0.161017528,0.136571092,0.111198322,0.129382191,0.087253119,0.07388357,0.073605464,0.074693277,0.066985803,0.20662275,0.041211226,131206-1-C10,Diploid,pure_diploids,NA,NA,NA,0.491604957,-0.156028897,0.00011964,NA,
295282,-0.016567814,-0.089672028,0.068405116,-0.032539188,-0.160735797,-0.041273637,-0.061463981,0.008452039,-0.030532253,-0.036736154,0.025695261,0.020638549,0.057682089,0.127463813,0.121507912,0.142133554,0.185277059,0.101936509,0.118632508,0.074978692,0.067319407,0.073919406,0.077720448,0.069547889,-0.003927826,0.037349696,E2-88-10-B5,Haploid,neutral_haploids,NA,NA,NA,0.022206494,0.184423336,7.20E-08,NA,
295406,0.379428405,0.136144943,0.639268538,0.580599555,0.175387647,-0.101840094,-0.103512501,0.114673897,0.347567613,0.09001561,0.159843158,-0.050386661,0.065520168,0.134752572,0.138631539,0.140421179,0.204988853,0.141564181,0.172524174,0.09407201,0.078553302,0.089868313,0.093179849,0.099763234,0.288573436,0.043686491,131122-2-E11,Haploid,adaptive_haploids,NA,NA,NA,-0.293048706,0.586977528,-0.007458785,6,
295458,0.297236684,0.332353853,0.24888891,0.345110409,0.485697569,0.458378516,0.815919518,0.111742858,0.168248987,0.149670251,0.303695533,0.305346538,0.066591182,0.121098139,0.163078647,0.14287694,0.155464701,0.100844592,0.113692423,0.077291415,0.066433014,0.072763741,0.068393755,0.063178885,0.254716427,0.038756051,131025-1-E11,Diploid,pure_diploids,Other,Other,old,0.293649983,-0.097375767,0.004880802,NA,
295752,0.041282255,-0.000251281,-0.1465,0.047684083,-0.159391499,0.104064254,0.132340981,0.032860946,0.050302859,-0.008196153,-0.042960995,-0.054408314,0.080091943,0.141473439,0.299568,0.179006144,0.238125995,0.126495604,0.146961893,0.104207838,0.093959134,0.096915079,0.113737818,0.111497402,0.001737391,0.053390952,131015-1-H5,Haploid,neutral_haploids,NA,NA,NA,-0.153582978,-0.170623506,0.001427199,NA,
295813,0.089031372,-0.039333673,-0.00132263,0.162380045,0.033357442,0.041085418,0.156361764,0.061986493,-0.024855201,-0.004215567,0.035380365,-0.052090447,0.076407719,0.138848157,0.208483,0.189016527,0.180768854,0.12022823,0.145563561,0.095030497,0.088471817,0.09028268,0.096892978,0.09039625,0.043615396,0.048593216,131209-1-H3,Haploid,neutral_haploids,NA,NA,NA,-0.116903331,0.044346217,0.000496441,NA,
296438,0.15562551,-0.031631644,0.103224,0.156962463,0.140510446,0.079988259,0.145581861,-0.133327559,-0.03502815,-0.057632898,-0.002372706,-0.052823294,0.06994048,0.133671483,0.201354,0.163125636,0.182730285,0.109079736,0.123350049,0.091128084,0.082033998,0.08488454,0.091786759,0.086800545,0.053599374,0.045334056,131209-2-D7,Haploid,neutral_haploids,NA,NA,NA,0.125884297,0.157331585,-6.51E-06,NA,
296534,0.055646968,0.014988928,0.137831,0.112746426,0.122407562,0.024308217,-0.069668823,0.029308913,-0.046738099,-0.038667627,-0.046490008,0.065914679,0.074703913,0.136915904,0.224689,0.170770024,0.182166857,0.128768167,0.156715756,0.095506586,0.087756447,0.087533012,0.100742114,0.092794929,0.007181706,0.048334369,131127-1-E12,Haploid,neutral_haploids,NA,NA,NA,0.009426352,0.143315751,-0.002087196,NA,
